Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Action,Number of Alerts,Sum of alert weights,Reward,Done,Timestamp
False,False,False,False,False,False,False,0,7,22,-88,False,2023-12-17 22:39:25.848619
False,False,True,False,False,False,False,3,5,18,-73,False,2023-12-17 22:39:40.889535
False,False,True,True,False,False,False,4,4,16,-66,False,2023-12-17 22:39:55.932088
False,False,False,True,False,False,False,3,6,20,-81,False,2023-12-17 22:40:10.985482
False,False,False,False,False,False,False,4,7,22,-88,False,2023-12-17 22:40:26.030045
True,False,False,False,False,False,False,1,5,14,-57,False,2023-12-17 22:40:41.078142
False,False,False,False,False,False,False,1,7,22,-88,False,2023-12-17 22:40:56.129550
False,False,False,True,False,False,False,4,6,20,-81,False,2023-12-17 22:41:11.184515
False,True,False,True,False,False,False,2,4,12,-50,False,2023-12-17 22:41:26.244499
False,True,False,True,False,True,False,6,2,6,-27,False,2023-12-17 22:41:41.304061
True,True,False,True,False,True,False,1,1,1,-8,False,2023-12-17 22:41:56.361606
True,True,False,True,False,False,False,6,3,7,-31,False,2023-12-17 22:42:11.422649
True,True,False,True,True,False,False,5,2,6,-28,False,2023-12-17 22:42:26.493579
True,False,False,True,True,False,False,2,4,14,-59,False,2023-12-17 22:42:41.555841
True,False,False,False,True,False,False,4,5,16,-66,False,2023-12-17 22:42:56.611557
False,False,False,False,True,False,False,1,6,21,-85,False,2023-12-17 22:43:11.676122
False,False,False,True,True,False,False,4,5,19,-78,False,2023-12-17 22:43:26.747272
False,False,False,True,True,False,False,0,5,19,-78,False,2023-12-17 22:43:41.816641
False,False,True,True,True,False,False,3,5,19,-79,False,2023-12-17 22:43:56.881223
False,False,True,True,True,False,True,7,2,10,-44,False,2023-12-17 22:44:11.951678
True,False,True,True,True,False,True,1,1,5,-25,False,2023-12-17 22:44:27.009874
True,False,True,True,True,False,False,7,4,14,-60,False,2023-12-17 22:44:42.083926
False,False,True,True,True,False,False,1,4,16,-67,False,2023-12-17 22:44:57.165368
False,False,True,True,True,False,False,0,5,19,-79,False,2023-12-17 22:45:12.231458
True,False,True,True,True,False,False,1,3,11,-48,False,2023-12-17 22:45:27.290674
False,False,True,True,True,False,False,1,4,16,-67,False,2023-12-17 22:45:42.363683
False,False,True,False,True,False,False,4,5,18,-74,False,2023-12-17 22:45:57.434276
False,True,True,False,True,False,False,2,4,13,-55,False,2023-12-17 22:46:12.513943
False,True,True,True,True,False,False,4,3,11,-48,False,2023-12-17 22:46:27.580655
False,True,True,True,True,False,False,0,3,11,-48,False,2023-12-17 22:46:42.646757
False,True,True,False,True,False,False,4,4,13,-55,False,2023-12-17 22:46:57.704592
True,True,True,False,True,False,False,1,3,8,-36,False,2023-12-17 22:47:12.777900
True,True,True,False,True,True,False,6,1,2,-13,False,2023-12-17 22:47:27.842779
True,True,True,False,True,True,False,0,1,2,-13,False,2023-12-17 22:47:42.958099
False,True,True,False,True,True,False,1,2,7,-32,False,2023-12-17 22:47:58.016182
False,True,True,False,False,True,False,5,2,7,-31,False,2023-12-17 22:48:13.079659
False,True,True,False,False,False,False,6,4,13,-54,False,2023-12-17 22:48:28.136973
False,True,True,False,False,True,False,6,2,7,-31,False,2023-12-17 22:48:43.208367
False,True,False,False,False,True,False,3,3,8,-34,False,2023-12-17 22:48:58.276156
False,True,False,True,False,True,False,4,2,6,-27,False,2023-12-17 22:49:13.344263
False,True,False,True,False,True,False,0,2,6,-27,False,2023-12-17 22:49:28.420007
False,True,False,True,False,True,True,7,2,6,-28,False,2023-12-17 22:49:43.485007
False,True,True,True,False,True,True,3,1,5,-25,False,2023-12-17 22:49:58.551262
