Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Action,Number of Alerts,Sum of alert weights,Reward,Done,Timestamp
False,False,False,False,False,True,False,6,3,12,-49,False,2023-12-18 13:30:37.959806
False,False,False,False,True,True,False,5,3,12,-50,False,2023-12-18 13:30:52.991912
False,False,False,False,True,True,False,0,3,12,-50,False,2023-12-18 13:31:08.031342
False,False,False,False,True,False,False,6,3,12,-49,False,2023-12-18 13:31:23.067672
False,False,False,True,True,False,False,4,2,10,-42,False,2023-12-18 13:31:38.115745
False,False,False,False,True,False,False,4,3,12,-49,False,2023-12-18 13:31:53.154577
False,False,False,False,True,True,False,6,3,12,-50,False,2023-12-18 13:32:08.192112
False,True,False,False,True,True,False,2,2,7,-31,False,2023-12-18 13:32:23.229785
True,True,False,False,True,True,False,1,1,2,-12,False,2023-12-18 13:32:38.261170
True,False,False,False,True,True,False,2,2,7,-31,False,2023-12-18 13:32:53.291471
True,False,False,False,False,True,False,5,2,7,-30,False,2023-12-18 13:33:08.331119
True,False,False,False,False,True,False,0,2,7,-30,False,2023-12-18 13:33:23.368173
True,False,False,False,False,False,False,6,2,7,-29,False,2023-12-18 13:33:38.402944
False,False,False,False,False,False,False,1,3,12,-48,False,2023-12-18 13:33:53.437020
False,False,False,False,True,False,False,5,3,12,-49,False,2023-12-18 13:34:08.481985
False,False,False,False,False,False,False,5,3,12,-48,False,2023-12-18 13:34:23.523328
True,False,False,False,False,False,False,1,2,7,-29,False,2023-12-18 13:34:38.565342
True,False,False,True,False,False,False,4,1,5,-22,False,2023-12-18 13:34:53.610196
True,False,False,True,False,False,True,7,1,5,-23,False,2023-12-18 13:35:08.659734
True,False,False,True,True,False,True,5,1,5,-24,False,2023-12-18 13:35:23.705239
True,False,False,True,True,True,True,6,1,5,-25,False,2023-12-18 13:35:38.746966
True,False,False,False,True,True,True,4,2,7,-32,False,2023-12-18 13:35:53.791168
True,False,True,False,True,True,True,3,0,0,5,True,2023-12-18 13:36:08.841457
False,False,True,False,False,False,False,3,0,0,9,True,2023-12-18 13:36:23.891164
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:36:38.931736
False,False,True,True,False,False,False,3,0,0,8,True,2023-12-18 13:36:53.976383
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:37:09.108074
