Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Action,Number of Alerts,Sum of alert weights,Reward,Done,Timestamp
False,True,False,False,False,False,False,2,5,14,-57,False,2023-12-17 17:41:51.560339
False,True,False,False,True,False,False,5,4,13,-54,False,2023-12-17 17:42:06.600765
True,True,False,False,True,False,False,1,2,5,-23,False,2023-12-17 17:42:21.632252
False,True,False,False,True,False,False,1,4,13,-54,False,2023-12-17 17:42:36.668081
False,True,False,False,False,False,False,5,5,14,-57,False,2023-12-17 17:42:51.703363
False,True,True,False,False,False,False,3,4,13,-54,False,2023-12-17 17:43:06.744005
False,True,True,False,False,False,False,0,4,13,-54,False,2023-12-17 17:43:21.788028
False,True,True,False,False,False,True,7,2,7,-31,False,2023-12-17 17:43:36.827570
False,True,True,False,False,False,True,0,2,7,-31,False,2023-12-17 17:43:51.874884
False,True,True,False,False,False,False,7,4,13,-54,False,2023-12-17 17:44:06.919523
False,True,True,False,False,False,False,0,4,13,-54,False,2023-12-17 17:44:21.968599
False,True,False,False,False,False,False,3,6,17,-69,False,2023-12-17 17:44:37.030057
False,False,False,False,False,False,False,2,7,22,-88,False,2023-12-17 17:44:52.091056
False,False,False,False,False,False,True,7,4,13,-53,False,2023-12-17 17:45:07.140535
False,False,False,False,False,False,True,0,4,13,-53,False,2023-12-17 17:45:22.195672
False,False,False,False,False,True,True,6,4,13,-54,False,2023-12-17 17:45:37.254624
False,False,False,True,False,True,True,4,3,11,-47,False,2023-12-17 17:45:52.320753
False,False,True,True,False,True,True,3,2,10,-44,False,2023-12-17 17:46:07.378130
False,False,True,True,False,True,False,7,2,10,-43,False,2023-12-17 17:46:22.441402
False,False,True,True,False,False,False,6,4,16,-66,False,2023-12-17 17:46:37.501589
False,True,True,True,False,False,False,2,3,11,-47,False,2023-12-17 17:46:52.563466
False,True,True,True,False,False,False,0,3,11,-47,False,2023-12-17 17:47:07.619321
False,False,True,True,False,False,False,2,4,16,-66,False,2023-12-17 17:47:22.686070
False,False,True,True,False,False,True,7,2,10,-43,False,2023-12-17 17:47:37.749824
False,False,False,True,False,False,True,3,3,11,-46,False,2023-12-17 17:47:52.813549
False,False,False,True,False,True,True,6,3,11,-47,False,2023-12-17 17:48:07.880049
False,False,False,True,False,True,True,0,3,11,-47,False,2023-12-17 17:48:22.954175
False,False,False,False,False,True,True,4,4,13,-54,False,2023-12-17 17:48:38.010581
False,True,False,False,False,True,True,2,3,8,-35,False,2023-12-17 17:48:53.082800
False,True,False,False,False,False,True,6,3,8,-34,False,2023-12-17 17:49:08.143432
False,False,False,False,False,False,True,2,4,13,-53,False,2023-12-17 17:49:23.216065
True,False,False,False,False,False,True,1,3,8,-34,False,2023-12-17 17:49:38.275324
True,False,False,False,False,True,True,6,3,8,-35,False,2023-12-17 17:49:53.377883
False,False,False,False,False,True,True,1,4,13,-54,False,2023-12-17 17:50:08.435424
False,False,False,False,True,True,True,5,3,12,-51,False,2023-12-17 17:50:23.504568
False,False,False,False,False,True,True,5,4,13,-54,False,2023-12-17 17:50:38.579540
False,False,False,False,False,False,True,6,4,13,-53,False,2023-12-17 17:50:53.634010
False,True,False,False,False,False,True,2,3,8,-34,False,2023-12-17 17:51:08.697438
False,True,False,False,False,True,True,6,3,8,-35,False,2023-12-17 17:51:23.767484
False,True,False,False,True,True,True,5,2,7,-32,False,2023-12-17 17:51:38.829715
False,True,False,False,False,True,True,5,3,8,-35,False,2023-12-17 17:51:53.888792
False,True,False,True,False,True,True,4,2,6,-28,False,2023-12-17 17:52:08.948240
True,True,False,True,False,True,True,1,1,1,-9,False,2023-12-17 17:52:24.022484
True,False,False,True,False,True,True,2,2,6,-28,False,2023-12-17 17:52:39.084744
True,False,False,True,False,True,True,0,2,6,-28,False,2023-12-17 17:52:54.153791
True,False,False,True,False,False,True,6,2,6,-27,False,2023-12-17 17:53:09.211235
True,False,False,True,False,True,True,6,2,6,-28,False,2023-12-17 17:53:24.281072
True,True,False,True,False,True,True,2,1,1,-9,False,2023-12-17 17:53:39.341310
True,True,False,True,False,True,True,0,1,1,-9,False,2023-12-17 17:53:54.397444
True,True,True,True,False,True,True,3,1,1,-10,False,2023-12-17 17:54:09.465690
True,True,False,True,False,True,True,3,1,1,-9,False,2023-12-17 17:54:24.526692
True,True,False,True,True,True,True,5,0,0,4,True,2023-12-17 17:54:39.586851
False,False,False,False,True,False,False,5,4,15,-61,False,2023-12-17 17:54:54.642288
False,False,False,True,True,False,False,4,5,19,-78,False,2023-12-17 17:55:09.709049
False,False,False,True,False,False,False,5,6,20,-81,False,2023-12-17 17:55:24.768159
False,False,True,True,False,False,False,3,5,19,-78,False,2023-12-17 17:55:39.824773
True,False,True,True,False,False,False,1,5,15,-63,False,2023-12-17 17:55:54.944049
True,True,True,True,False,False,False,2,3,7,-32,False,2023-12-17 17:56:10.002355
True,True,False,True,False,False,False,3,3,7,-31,False,2023-12-17 17:56:25.066199
True,True,False,True,False,True,False,6,1,1,-8,False,2023-12-17 17:56:40.126095
True,True,False,True,False,True,True,7,1,1,-9,False,2023-12-17 17:56:55.210843
True,True,False,True,True,True,True,5,0,0,4,True,2023-12-17 17:57:10.291068
False,False,False,False,True,False,False,5,6,21,-85,False,2023-12-17 17:57:25.369314
False,False,False,False,True,False,False,0,6,21,-85,False,2023-12-17 17:57:40.424783
False,True,False,False,True,False,False,2,5,16,-66,False,2023-12-17 17:57:55.487093
False,True,False,True,True,False,False,4,4,14,-59,False,2023-12-17 17:58:10.550196
False,True,False,True,True,False,True,7,1,5,-24,False,2023-12-17 17:58:25.613815
False,True,False,True,False,False,True,5,2,6,-27,False,2023-12-17 17:58:40.681741
True,True,False,True,False,False,True,1,1,1,-8,False,2023-12-17 17:58:55.740010
True,True,False,True,False,False,True,0,1,1,-8,False,2023-12-17 17:59:10.807722
True,True,True,True,False,False,True,3,1,1,-9,False,2023-12-17 17:59:25.866830
